"first_name","last_name","company_name","address","city","province","postal","phone1","phone2","email","web","date_of_birth"
"Armanda","Mushero","Voils, Otis V","989 Wyatt Dr #7","Cowansville","QC","J2K 2M6","450-866-7181","450-681-1613","armanda.mushero@aol.com","http://www.voilsotisv.com","1964-03-18"
"Vonda","Abney","Crisell Cohee & Co","9891 Main St","Mirabel","QC","J7J 1G7","450-706-3809","450-473-8682","vondaa@hotmail.com","http://www.crisellcoheeco.com","2000-11-22"
"Truman","Maury","Metz, Roger E Esq","1657 N Green St","Peterborough","ON","K9J 0A1","705-757-7389","705-234-5820","truman.maury@hotmail.com","http://www.metzrogereesq.com","1992-12-19"
"Elvis","Czaplinski","Beloit Boxboard Co","6437 Date Palm Dr","Calgary","AB","T2B 0X5","403-415-1285","403-329-4641","elvis.czaplinski@czaplinski.com","http://www.beloitboxboardco.com","1983-02-26"
"Loise","Frere","Magnotta Construction Co Inc","1062 Rd","Saskatoon","SK","S7K 5J3","306-964-9291","306-310-4288","loise.frere@yahoo.com","http://www.magnottaconstructioncoinc.com","1978-09-14"
"Jannette","Kylish","Reif, W Michael Esq","73 Madison Ave","Vancouver","BC","V6L 2V9","604-953-5335","604-889-3061","j.kylish@aol.com","http://www.reifwmichaelesq.com","1997-07-14"
"Margo","Caneles","Muscle Bound Bindery","344 Lyndon St","Concord","ON","L4K 1J7","905-781-3868","905-855-2524","margoc@caneles.com","http://www.muscleboundbindery.com","1954-12-05"
"Dahlia","Kesten","Doco School Empl Fed Crdt Un","3986 Home Life","Alma","QC","G8B 1K7","418-344-9993","418-720-5596","d.kesten@yahoo.com","http://www.docoschoolemplfedcrdtun.com","1971-10-23"
"Dominga","Pelletier","Scott & Murphy Inc","68 Dd N #1","Trois-Rivieres","QC","G8T 7G3","819-627-1581","819-974-1149","dominga.pelletier@cox.net","http://www.scottmurphyinc.com","1987-09-03"
"Hollis","Dubray","Amsterdam News","27 7th St","Keswick","ON","L4P 1V3","905-928-5294","905-356-3061","hollis_dubray@dubray.com","http://www.amsterdamnews.com","1995-01-29"
"Carry","Kotz","Hatboro Delivery Service","8 Maynesboro St","Strathroy","ON","N7G 3H9","519-847-8783","519-902-8276","carry_kotz@kotz.org","http://www.hatborodeliveryservice.com","1986-05-25"
"Bong","Rabago","Cabot Safety Corp Aorx Center","7 State St #1","Pierrefonds","QC","H9H 3C8","514-308-1992","514-798-2801","bong_rabago@hotmail.com","http://www.cabotsafetycorpaorxcenter.com","1995-04-23"
"Yolande","Pezley","Williams Jamal Ltd","21 N 14th St","Orleans","ON","K1C 3C7","613-700-7712","613-896-1928","y.pezley@cox.net","http://www.williamsjamalltd.com","1984-09-12"
"Lottie","Leko","Management Protection Services","45 W 21st St","Unionville","ON","L3R 2H1","905-638-1034","905-780-4717","lottiel@aol.com","http://www.managementprotectionservices.com","1962-04-01"
"Jose","Bacho","Nicks Printing","93 Law Dr","Pierrefonds","QC","H9J 1W6","514-211-3774","514-504-3039","jose.bacho@cox.net","http://www.nicksprinting.com","1975-09-12"
"Tuyet","Shadle","Gibbard, H Frank Iii","976 Cozycroft Ave","Richmond Hill","ON","L4E 4P3","905-790-7938","905-876-7283","tuyet.shadle@shadle.com","http://www.gibbardhfrankiii.com","1964-10-16"
"Pearline","Zoldak","Information Marketing Svc Inc","611 S 2nd St","Concord","ON","L4K 1V4","905-734-9102","905-871-6252","pearline.zoldak@hotmail.com","http://www.informationmarketingsvcinc.com","1959-04-06"
"Robt","Bultron","Joseph Notarianni & Co","3780 Ronson Rd","Quebec","QC","G1L 4H3","418-874-8104","418-997-2257","robt_bultron@bultron.org","http://www.josephnotariannico.com","2000-11-03"
"Shawnee","Pesqueira","N Amercn Min & Quar Equip Inc","5 W Irving Park Rd","Big Ridge","NS","B1K 1X8","902-208-1038","902-514-6214","s.pesqueira@hotmail.com","http://www.namercnminquarequipinc.com","1992-02-29"
"Lacresha","Oppy","John Drew Theater Of Gld Hall","48 Bernardo Cent","Vaudreuil-Dorion","QC","J7V 5V8","450-213-1080","450-248-5946","lacresha_oppy@gmail.com","http://www.johndrewtheaterofgldhall.com","1961-04-23"
"Basilia","Heuring","Ariz Association Of Life Und","45 S Wells Ave","Quebec","QC","G1H 1A6","418-386-6120","418-417-9632","basilia_heuring@cox.net","http://www.arizassociationoflifeund.com","1978-04-23"
"Aleisha","Sine","Hi Port Distribtg Inc","960 Deming Way","Quebec","QC","G1C 5G2","418-408-1640","418-915-1088","aleishasine@sine.com","http://www.hiportdistribtginc.com","1978-05-21"
"Frank","Dudash","Interlink Marketing Inc","462 2nd St","Prince Albert","SK","S6V 6E5","306-653-1772","306-265-2144","fdudash@dudash.com","http://www.interlinkmarketinginc.com","2001-10-27"
"Ria","Presnal","D H Auto Equip Inc","269 Commercial Dr","Jonquiere","QC","G7S 2S3","418-319-1374","418-221-6034","r.presnal@yahoo.com","http://www.dhautoequipinc.com","1987-08-24"
"Carla","Dosal","Mcginness & Shaw","8 Commercial Blvd #9","Hanover","ON","N4N 1Z7","519-646-7797","519-560-6667","carla.dosal@hotmail.com","http://www.mcginnessshaw.com","1984-08-26"
"Lashanda","Zeng","Monogram Co","739 Stockton Ave","Gray Rapids","NB","E9B 1G6","506-497-2698","506-543-5119","l.zeng@yahoo.com","http://www.monogramco.com","1951-09-11"
"Jarod","Momplaisir","Industrial Precision Corp","60 Sunrise Ave","North Bay","ON","P1B 2L4","705-369-2146","705-915-3282","j.momplaisir@yahoo.com","http://www.industrialprecisioncorp.com","1995-12-20"
"Leoma","Courter","Curtis, Martin L Dds","575 Washington St","Nanaimo","BC","V9R 6W5","250-810-7815","250-340-9574","l.courter@courter.org","http://www.curtismartinldds.com","1953-06-10"
"Yasuko","Gazzola","Plant","4634 Anania Dr","Vernon","BC","V1B 3Z4","250-891-6910","250-302-7554","ygazzola@cox.net","http://www.plant.com","1995-12-23"
"Jimmie","Zufall","Tri Lakes Chamber Of Commerce","24 Sw Bridgeport Rd","Oakville","ON","L6J 7H9","905-772-1416","905-958-5143","jimmie.zufall@gmail.com","http://www.trilakeschamberofcommerce.com","2001-03-28"
"Titus","Santanna","American Lung Assoc","419 N Dixboro Rd #8","Gatineau","QC","J9J 0V4","819-983-1846","819-842-7631","tituss@aol.com","http://www.americanlungassoc.com","1958-12-05"
"Joanne","Rand","Rever, Irwin S Esq","1 W Sierra Madre Blvd #9985","St Catharines","ON","L2M 1R4","905-219-6895","905-928-7775","joannerand@rand.org","http://www.reverirwinsesq.com","1983-08-23"
"Suzi","Kettelle","Comisky, James L","9 W Jackson Blvd","Surrey","BC","V3S 7P4","604-700-2946","604-811-1777","s.kettelle@aol.com","http://www.comiskyjamesl.com","1972-10-13"
"Denny","Nickolich","Pony Express National Memorial","4974 Rockburn Hill Rd #3","Surrey","BC","V4A 8M9","604-239-4105","604-864-8071","d.nickolich@gmail.com","http://www.ponyexpressnationalmemorial.com","1991-08-06"
"Willie","Mondale","Brooktronics Engineering Corp","8545 S Westshore Blvd","Cantley","QC","J8V 3K1","819-869-6389","819-816-5427","willie_mondale@aol.com","http://www.brooktronicsengineeringcorp.com","1972-06-24"
"Margurite","Miklitz","Moyer, David W Esq","258 S Ash Ave","Amherstburg","ON","N9V 1S8","519-476-5983","519-248-6055","margurite_miklitz@yahoo.com","http://www.moyerdavidwesq.com","1969-05-24"
"Arlen","Dugre","Whitehurst, William O Jr","1 W Green Bay St","Saint John","NB","E2K 3R6","506-218-3036","506-871-1452","a.dugre@dugre.org","http://www.whitehurstwilliamojr.com","1952-05-26"
"Shaniqua","Kinikini","Durley, Colly J Esq","8 Sylvan Ave","North York","ON","M3H 5X6","416-573-9093","416-693-2920","s.kinikini@kinikini.org","http://www.durleycollyjesq.com","1983-11-20"
"William","Sharples","Dubosar & Davidson Pa","9 Clove Rd","Pointe-aux-Trembles","QC","H1B 4R4","514-606-4631","514-570-9479","williams@hotmail.com","http://www.dubosardavidsonpa.com","1977-01-29"
"Silva","Matsuno","Nimco Corp","10 Canal St","Pierrefonds","QC","H8Y 2A9","514-319-4125","514-592-7645","s.matsuno@matsuno.org","http://www.nimcocorp.com","1991-01-16"
"Gearldine","Laramie","Robert Glen Distributing Co","62 N 3rd St","Calgary","AB","T2J 0S5","403-810-3712","403-242-6060","g.laramie@laramie.org","http://www.robertglendistributingco.com","1967-05-03"
"Azalee","Stapels","Interior Alternative","2607 Market St","Chateauguay","QC","J6J 3J8","450-515-9694","450-933-2068","azalee_stapels@cox.net","http://www.interioralternative.com","1972-02-10"
"Kimbery","Goerke","Bain, James W Esq","62 15th Ave #63","Duncan","BC","V9L 2E9","250-504-9388","250-654-7546","kimbery.goerke@cox.net","http://www.bainjameswesq.com","1959-05-22"
"Ricarda","Michelet","Hersh, Peter S Md","1 Clairemont Mesa Blvd","New Glasgow","NS","B2H 3Y5","902-614-2197","902-717-8376","ricarda.michelet@michelet.org","http://www.hershpetersmd.com","1960-07-10"
"Macy","Bauswell","C H Fenstermaker & Assocs Inc","6 N Water St","Dauphin","MB","R7N 2C7","204-656-8450","204-825-5825","m.bauswell@aol.com","http://www.chfenstermakerassocsinc.com","1956-03-29"
"Carol","Pride","Westwood Specialties","1 S Kresson St","Alma","QC","G8E 1G2","418-540-2207","418-264-8597","carol_pride@hotmail.com","http://www.westwoodspecialties.com","1976-03-03"
"Blythe","Finstad","Ebw Inc Enterprise Brass Works","4 S 4th St","Calgary","AB","T2V 2M5","403-775-4053","403-660-6436","bfinstad@aol.com","http://www.ebwincenterprisebrassworks.com","1956-11-18"
"Tanesha","Schuring","Alex Fries & Bros Inc","326 Witherspoon St","Etobicoke","ON","M9R 2W5","416-568-3388","416-227-8643","tanesha_schuring@schuring.com","http://www.alexfriesbrosinc.com","1957-01-18"
"Yaeko","Marcille","Holcombe Armature Co","66 Hoffman St","St Thomas","ON","N5P 2E5","519-625-4433","519-737-1130","yaekomarcille@gmail.com","http://www.holcombearmatureco.com","1963-06-21"
"Broderick","Diflorio","Frascella, Thomas P Esq","185 Davis St","Saskatoon","SK","S7N 3M6","306-285-1574","306-649-5882","broderickdiflorio@cox.net","http://www.frascellathomaspesq.com","1976-12-30"
"Twila","Romack","Marks, Seymour Esq","20 Simpson Ferry Rd","Victoria","BC","V8Y 1H4","250-862-6746","250-548-7509","twila.romack@yahoo.com","http://www.marksseymouresq.com","1953-06-07"
"Sarina","Emanuel","Burgess Manning Inc","7821 16th St Nw","Ajax","ON","L1S 1S7","905-696-6221","905-927-3049","sarina_emanuel@emanuel.com","http://www.burgessmanninginc.com","1974-06-03"
"Candra","Pedder","Gator Supply & Equipment Inc","9 Pulaski Park Dr #7","North Bay","ON","P1B 2V6","705-799-1235","705-462-8314","cpedder@pedder.com","http://www.gatorsupplyequipmentinc.com","1950-07-07"
"Von","Gallati","Heller, Tom A Esq","63 Baronne St","Port Moody","BC","V3H 1E8","604-986-3233","604-853-6594","von.gallati@gmail.com","http://www.hellertomaesq.com","1961-09-16"
"Natalya","Oviedo","Rose Cooper & English","74 Chestnut St","Kitchener","ON","N2A 1S3","519-736-9305","519-935-3251","natalya.oviedo@oviedo.com","http://www.rosecooperenglish.com","1994-10-16"
"Stanton","Kountz","Maxons Restorations Inc","4 Smith St #5","North York","ON","M3M 2A4","416-801-7398","416-974-8005","s.kountz@gmail.com","http://www.maxonsrestorationsinc.com","1954-05-13"
"Dona","Rhule","Birmingham Historical Society","4298 E Drinker St","York","ON","M6M 1V5","416-884-9104","416-488-1936","dona_rhule@rhule.org","http://www.birminghamhistoricalsociety.com","1958-12-03"
"Cortney","Lanter","Schulman, Richard J Esq","80 S 33rd Pl","Greenfield Park","QC","J4V 3G8","450-339-6016","450-498-1871","cortney_lanter@hotmail.com","http://www.schulmanrichardjesq.com","2000-11-10"
"Ira","Ancar","Andersen Consulting","935 S Padre Island Dr","Halifax","NS","B3K 3E4","902-240-7029","902-579-3428","ira.ancar@ancar.com","http://www.andersenconsulting.com","1971-06-04"
"Vanna","Ogle","Phipps & Bird","3 B Main #117","Newmarket","ON","L3Y 3M4","905-309-4565","905-538-1331","vanna.ogle@ogle.org","http://www.phippsbird.com","1961-01-05"
"Bo","Alaibilla","Land Engineering & Surv Co Inc","779 Moore St","Winnipeg","MB","R3R 2Z5","204-210-4967","204-591-6137","bo_alaibilla@yahoo.com","http://www.landengineeringsurvcoinc.com","1987-12-03"
"Nathalie","Davirro","Boldt Carlisle & Smith Cpa","14 Van Buren St","Peterborough","ON","K9H 4B6","705-736-4801","705-651-4065","nathalie.davirro@aol.com","http://www.boldtcarlislesmithcpa.com","1957-01-02"
"Rodney","Amend","Schultz, Barry J Esq","7 N Us Highway 67 #96","Ottawa","ON","K1S 2E4","613-273-5773","613-555-5392","r.amend@yahoo.com","http://www.schultzbarryjesq.com","1978-09-10"
"Elena","Tutterrow","Reed, Crystal Md","31 Mechanic St #9839","Stephenville","NL","A2N 2N4","709-399-4807","709-427-8386","elena.tutterrow@tutterrow.org","http://www.reedcrystalmd.com","1961-07-17"
"Blossom","Penso","Vic Firth Inc","881 Route 38","North York","ON","M4A 2A6","416-631-1863","416-960-8915","b.penso@cox.net","http://www.vicfirthinc.com","1966-01-17"
"Loreen","Peckens","A J Cohen Distributor Inc","6 Monard Dr","Orleans","ON","K1C 2E5","613-684-4467","613-959-2224","loreen.peckens@peckens.org","http://www.ajcohendistributorinc.com","1999-06-12"
"Tayna","Marrazzo","Hartz, J Ernest Esq","18 Cowesett Ave","Barrie","ON","L4N 5C5","705-655-5936","705-731-4284","tayna.marrazzo@cox.net","http://www.hartzjernestesq.com","1952-08-16"
"Nieves","Stenquist","Swanson, Dennis V Esq","684 Albion Rd","Peterborough","ON","K9H 3K7","705-616-5386","705-997-9149","n.stenquist@stenquist.org","http://www.swansondennisvesq.com","1954-08-24"
"Glenn","Mair","Leikin, James","8700 S Jefferson Rd #676","Lachine","QC","H8S 3A8","514-330-5479","514-322-5935","g.mair@cox.net","http://www.leikinjames.com","1967-02-11"
"Julianna","Mcglocklin","Cycle Motion Inc","4407 Chestnut Ridge Dr","Saint John","NB","E2K 5L7","506-752-6097","506-958-3152","j.mcglocklin@mcglocklin.org","http://www.cyclemotioninc.com","1982-01-27"
"Ashton","Traux","Tirone, Anthony R Esq","13 Midway Pl","Oakville","ON","L6H 5G1","905-725-6769","905-586-2298","ashtont@traux.com","http://www.tironeanthonyresq.com","1993-02-27"
"Shaun","Thiemann","Stowe Away Lodge","253 Hamilton Ave #1684","Pickering","ON","L1W 2P9","905-907-6615","905-984-4439","shaunt@yahoo.com","http://www.stoweawaylodge.com","1961-04-21"
"Long","Lehn","Georgetown Agency","8 W 41st Ave","Blainville","QC","J7C 2R9","450-771-5010","450-679-3521","","http://www.georgetownagency.com","1957-07-24"
"Vinnie","Wadden","Halbar Enterprises Whol Clthng","559 Bridge Plz","Etobicoke","ON","M8Y 1G5","416-862-7028","416-626-5219","vinnie_wadden@hotmail.com","http://www.halbarenterpriseswholclthng.com","1996-04-05"
"Lucia","Weekly","Days Inn","196 Touhy Ave","Scarborough","ON","M1E 3L6","416-870-8070","416-938-6909","","http://www.daysinn.com","1990-04-10"
"Corazon","Milionis","Ansonia Records Inc","6 W Lincoln Ave","Saskatoon","SK","S7K 3K7","306-333-8933","306-513-1680","c.milionis@hotmail.com","http://www.ansoniarecordsinc.com","2000-02-04"
"Jaime","Maye","Bei Motion Systems Co Inc","7071 E 7th St #56","Verdun","QC","H4G 1X4","514-950-4495","514-371-6473","j.maye@maye.com","http://www.beimotionsystemscoinc.com","1965-11-12"
"Miriam","Corners","Sign Magic","784 Packerland Dr","Burlington","ON","L7L 5E8","905-441-5009","905-702-1792","miriam.corners@corners.org","http://www.signmagic.com","2000-09-03"
"Vallie","Adessa","Can Lines Inc","7823 N 36th Ave","North Vancouver","BC","V7H 2J2","604-848-3170","604-272-7228","valliea@cox.net","http://www.canlinesinc.com","1973-09-06"
"Sheldon","Dedaj","Young, Charles R Esq","35 Milnor St","Valley","NS","B6L 3K5","902-330-7314","902-482-5940","sheldondedaj@aol.com","http://www.youngcharlesresq.com","1983-09-21"
"Nickie","Marrano","Mcinerney Communications","7 Saint Nicholas Ave","North Vancouver","BC","V7J 3P8","604-556-1080","604-408-3115","","http://www.mcinerneycommunications.com","1956-11-20"
"Fletcher","Branin","Hy Cite Corp","87 Spencerville Ct #2","Hamilton","ON","L8S 3V2","905-992-1637","905-974-3091","fletcher_branin@aol.com","http://www.hycitecorp.com","1997-11-13"
"Rutha","Leahman","Quality Litho Printing","87 W 32nd St","Niagara Falls","ON","L2G 3H6","905-468-2503","905-288-1333","rutha_leahman@aol.com","http://www.qualitylithoprinting.com","1984-10-13"
"Brandon","Stalma","Royal Title Service Inc","70 W Main St","Vancouver","BC","V5Z 3S8","604-940-9313","604-894-9406","brandons@stalma.org","http://www.royaltitleserviceinc.com","1999-02-11"
"Franchesca","Arau","Euorpean Pretzel Bakery","3208 W Touhy Ave","Charlottetown","PE","C1E 1W8","902-715-9684","902-291-8223","franchesca_arau@cox.net","http://www.euorpeanpretzelbakery.com","1956-02-09"
"Lorriane","Hathcox","American Space Planners Inc","7 Airway Cir","Duncan","BC","V9L 2T9","250-544-1482","250-738-4408","lorriane_hathcox@aol.com","http://www.americanspaceplannersinc.com","1981-04-13"
"Asuncion","Sensibaugh","Link, Andrew P","54 Whitaker Way","Reinfeld","MB","R6W 1K7","204-318-1929","204-696-6138","a.sensibaugh@sensibaugh.com","http://www.linkandrewp.com","1981-06-22"
"Georgiann","Casteneda","Orava, Stephen J Esq","4945 Progress Dr","Grand-Mere","QC","G9T 3C3","819-632-2869","819-695-5561","g.casteneda@casteneda.com","http://www.oravastephenjesq.com","1992-05-04"
"Hershel","Rippy","Kings Trophies & Engraving Co","658 W 30th St","London","ON","N5Z 1R6","519-844-4835","519-782-2362","h.rippy@rippy.com","http://www.kingstrophiesengravingco.com","1953-08-31"
"Chu","Stanfield","Chiropractic Care Center","8 E 9mile Rd #697","Trois-Rivieres","QC","G8V 2J6","819-677-1206","819-899-7304","c.stanfield@aol.com","http://www.chiropracticcarecenter.com","1993-08-19"
"Bettina","Perkins","Willamette Valley Walnuts Inc","7 Ryan Industrial Ct","Vancouver","BC","V6H 3Y2","604-752-9256","604-539-9088","bettinap@aol.com","http://www.willamettevalleywalnutsinc.com","1985-11-23"
"Lynsey","Lannigan","Ross, Donald J Esq","7 Mccrea St","Chilliwack","BC","V2P 6L6","604-525-6939","604-485-8495","lynsey.lannigan@aol.com","http://www.rossdonaldjesq.com","1966-09-26"
"Phil","Rudig","Sequins International Inc","7 Mcwhorter Rd","Jonquiere","QC","G7X 2X4","418-940-4070","418-996-6859","p.rudig@yahoo.com","http://www.sequinsinternationalinc.com","1976-04-08"
"Cordelia","Randol","Pacific Valley Appraisal Svc","572 Simpson St","Georgetown","ON","L7G 2T4","905-975-4308","905-881-8675","c.randol@yahoo.com","http://www.pacificvalleyappraisalsvc.com","1950-09-07"
"Georgeanna","Yestramski","Allied Fine Furniture","3493 Camino Ruiz","Hamilton","ON","L8N 2V6","905-366-7378","905-540-7836","georgeanna.yestramski@aol.com","http://www.alliedfinefurniture.com","1973-02-11"
"Rosendo","Normington","Howe & Hutton Ltd","2052 E Semoran Blvd","Regina","SK","S4N 5R4","306-700-6743","306-714-9622","rosendo_normington@gmail.com","http://www.howehuttonltd.com","1980-07-16"
"Jerilyn","Violett","Jaqua & Wheatley Pc","9 Main St","Hanover","ON","N4N 2P6","519-978-7661","519-649-6721","jerilyn_violett@violett.com","http://www.jaquawheatleypc.com","1968-09-11"
"Elfriede","Persechino","Krei 800 Radio Station","538 Fayetteville Street Mall","Grand-Sault/Grand Falls","NB","E3Z 2K5","506-404-8558","506-956-6048","elfriede.persechino@aol.com","http://www.kreiradiostation.com","1957-12-07"
"Harris","Elmquist","New Lans Corporation","9875 Sheafe Rd","Montreal","QC","H2H 1Z2","514-257-9319","514-774-5902","helmquist@elmquist.com","http://www.newlanscorporation.com","1984-02-07"
"Leonor","Kuamoo","Lochaven Fed Svngs & Ln Assn","269 Distribution Way","Orleans","ON","K1C 1Z6","613-338-5158","613-308-1865","leonor_kuamoo@gmail.com","http://www.lochavenfedsvngslnassn.com","1963-05-14"
"Terrilyn","Suman","Corallino, Robert L Cpa","6 E Miraloma Ave","Gatineau","QC","J8M 2A5","819-670-6020","819-318-6187","t.suman@cox.net","http://www.corallinorobertlcpa.com","1977-03-02"
"Maddie","Tapian","Sinclair Machine Products Inc","56 N Wood Ave #25","Montreal","QC","H2M 1W9","514-874-9519","514-545-7912","maddie.tapian@aol.com","http://www.sinclairmachineproductsinc.com","1981-06-25"
"Melynda","Boccard","Leader","3 Lee Dr #8435","Longueuil","QC","J4J 3E9","450-470-3593","450-261-4907","melynda.boccard@gmail.com","http://www.leader.com","1997-09-11"
"Odette","Kramarczyk","Beauregard Federal Savings Bnk","1831 Everett Rd","Corner Brook","NL","A2H 2K1","709-744-4165","709-750-3310","odette_kramarczyk@kramarczyk.org","http://www.beauregardfederalsavingsbnk.com","1956-09-12"
"Steffanie","Palenik","Rosenblum, Donn D Esq","801 W Belmont Ave","Montreal","QC","H3C 5G9","514-964-9106","514-644-9120","s.palenik@palenik.com","http://www.rosenblumdonndesq.com","1985-10-02"
"Antonette","Scovil","Kasprenski, Michael D Esq","61 N Westshore Blvd","Kitchener","ON","N2A 1S3","519-670-5269","519-574-5766","a.scovil@aol.com","http://www.kasprenskimichaeldesq.com","1954-05-23"
"Thora","Stadel","Engravers","6 Old York Rd","Gatineau","QC","J8P 3A1","819-648-4049","819-419-1891","thoras@gmail.com","http://www.engravers.com","1989-08-04"
"Nada","Tartar","Shastri, S R Md","80 Sw End Blvd","Surrey","BC","V3R 4L7","604-570-1494","604-464-2579","nada.tartar@cox.net","http://www.shastrisrmd.com","1967-05-20"
"Ivette","Cerao","South Texas Prod Splty Inc","7585 Calle De Industrias","Reserve Mines","NS","B1E 1G6","902-244-5318","902-899-7285","ivette_cerao@cerao.org","http://www.southtexasprodspltyinc.com","1953-07-07"
"Devon","Provenzano","Kcon Inc","250 University Ave #9","Comox","BC","V9M 1T4","250-525-4631","250-811-7716","dprovenzano@provenzano.org","http://www.kconinc.com","1951-02-18"
"Lon","Bub","May W L Co Inc","78 Eastway Dr","Mississauga","ON","L5E 1B7","905-233-1845","905-290-1867","lon_bub@bub.com","http://www.maywlcoinc.com","1987-02-23"
"Tennie","Stropko","M A C Insurance Agency","196 Waterman Ave #1","Trois-Rivieres","QC","G8T 6A2","819-261-5496","819-276-7974","tennies@aol.com","http://www.macinsuranceagency.com","1979-01-11"
"Fidelia","Mccoskey","Gto Lithographers Inc","9 Meridian St","Scarborough","ON","M1G 1V4","416-892-4321","416-209-3419","fideliam@gmail.com","http://www.gtolithographersinc.com","1986-03-07"
"Michal","Zarazua","Physician Manager","9514 Mount Vernon Ave","Quebec","QC","G2B 4L7","418-399-6819","418-652-4085","michal.zarazua@cox.net","http://www.physicianmanager.com","1950-08-31"
"Enola","Cortesi","Branan Photography","7 Sw 5th Ave","Dartmouth","NS","B2W 6G3","902-539-1621","902-831-6815","e.cortesi@hotmail.com","http://www.brananphotography.com","1977-02-08"
"Meghann","Fears","Hampton Inn South","7675 N Solano Dr","Hebbville","NS","B4V 7A2","902-348-8759","902-216-8117","meghann.fears@fears.org","http://www.hamptoninnsouth.com","1983-08-07"
"Latanya","Mckeon","Swissotel Boston","8229 S Washington Ave","Portage la Prairie","MB","R1N 3T4","204-649-9481","204-615-1776","l.mckeon@gmail.com","http://www.swissotelboston.com","1966-02-16"
"Chandra","Corna","Preston Trucking Co Inc","686 S Dupont Hwy","Oshawa","ON","L1J 8H1","905-451-3719","905-979-1749","chandra.corna@yahoo.com","http://www.prestontruckingcoinc.com","1990-11-15"
"Barney","Firlik","Anthony, Richard A Esq","88 Norris Ave #2","Bedford","NS","B4A 3V5","902-287-1148","902-440-9745","barney.firlik@gmail.com","http://www.anthonyrichardaesq.com","1983-08-16"
"Ocie","Scotts","Ellner, Harold J Md","72 W Hampden Ave","Orleans","ON","K1E 2C8","613-756-9548","613-565-6742","o.scotts@aol.com","http://www.ellnerharoldjmd.com","1950-09-27"
"Precious","Benett","Martin Research Inc","846 Middletown Blvd #427","Orillia","ON","L3V 4N5","705-607-6992","705-628-6331","precious.benett@aol.com","http://www.martinresearchinc.com","1965-07-18"
"Sanda","Welschmeyer","Trafalgar Corp","5181 N Alma School Rd","Dawson Creek","BC","V1G 1Y2","250-700-8923","250-902-6776","sanda_welschmeyer@hotmail.com","http://www.trafalgarcorp.com","1967-11-24"
"Gaynell","Larner","Life Guard Apparel","71 W Indian School Rd","Thunder Bay","ON","P7E 2H1","807-284-2501","807-395-1502","gaynell.larner@hotmail.com","http://www.lifeguardapparel.com","1958-05-20"
"Bethanie","Pritt","Four Star Label Co Inc","5 Victory Ave","Cambridge","ON","N1S 2S8","519-328-4250","519-260-7499","","http://www.fourstarlabelcoinc.com","1964-03-01"
"Yvette","Stakes","Stier, Brian E Esq","33 Broadway St #8539","Big Valley","AB","T0J 0G0","403-919-6456","403-642-8023","y.stakes@yahoo.com","http://www.stierbrianeesq.com","1977-08-29"
"Alana","Menino","Invest Financial Corp","96 Hook Rd","Scarborough","ON","M1B 2S5","416-386-8947","416-983-4604","alana.menino@menino.com","http://www.investfinancialcorp.com","2001-10-24"
"Lakeesha","Eddens","Olivera, Keith R Esq","1 Sw 72nd Ave","Chilliwack","BC","V2P 4W3","604-352-7502","604-776-5963","l.eddens@eddens.org","http://www.oliverakeithresq.com","1999-05-29"
"Ailene","Emmert","Spector Thread Co","479 Commerce Park","Enterprise","NB","E7G 1M2","506-907-7068","506-631-8304","ailene_emmert@gmail.com","http://www.spectorthreadco.com","1971-06-01"
"Valene","Boerboom","H J Heinz Fld Ofc & Distrb Ctr","42 Main St","Alma","QC","G8B 7M5","418-646-3844","418-971-4887","valene_boerboom@boerboom.com","http://www.hjheinzfldofcdistrbctr.com","1958-03-28"
"Floyd","Sugai","Southeastern Services Inc","4701 N Cocoa Blvd","Toronto","ON","M4V 2Z2","416-557-9767","416-988-1063","f.sugai@gmail.com","http://www.southeasternservicesinc.com","1989-05-14"
"Josue","Friedman","United States Chrome Corp Ca","755 135th St","Etobicoke","ON","M9W 1M9","416-337-2239","416-236-8860","jfriedman@yahoo.com","http://www.unitedstateschromecorpca.com","1982-09-29"
"Johnathon","Staie","De Osu Inc","4714 S Main St","Peterborough","ON","K9J 3N7","705-646-2781","705-719-2693","johnathonstaie@aol.com","http://www.deosuinc.com","1963-07-30"
"Kenneth","Hailstone","Packaging Corp Of America","2 Scott Blvd","Amos","QC","J9T 1S3","819-999-6396","819-572-9764","kenneth.hailstone@yahoo.com","http://www.packagingcorpofamerica.com","1988-06-13"
"Leila","Pennel","D W Rogers Co","9 Constitution Ave","Calgary","AB","T2X 2M9","403-733-8035","403-455-2552","l.pennel@pennel.org","http://www.dwrogersco.com","1951-08-31"
"Marquetta","Nicks","Herregan Distributors Inc","2965 Lake Lizzie Dr","Mont-Royal","QC","H3R 1G3","514-950-3156","514-450-3097","marquetta_nicks@nicks.org","http://www.herregandistributorsinc.com","1969-06-15"
"Annamae","Bussert","Halberstadt, Bradley J Esq","8939 Merrill Field Dr","Burnaby","BC","V5G 4J9","604-877-2244","604-564-4259","annamae_bussert@bussert.com","http://www.halberstadtbradleyjesq.com","1982-05-15"
"An","Jefferys","Cpa Affiliates Inc","8 Leoole St #3","Drummondville","QC","J2B 3J9","819-324-8832","819-789-9431","an_jefferys@aol.com","http://www.cpaaffiliatesinc.com","1962-10-10"
